	mntsa0	mntsa1	mntsa2	mntsa3	mntsa4	exps0	exps1	exps2	exps3	exps4
22	0.5274999737739563	0.625	0.6850000023841858	0.9350000023841858	0.6200000047683716	3	2	4	2	3
23	0.625	0.6850000023841858	0.9350000023841858	0.6200000047683716	0.6050000190734863	2	4	2	3	2
24	0.6850000023841858	0.9350000023841858	0.6200000047683716	0.6050000190734863	0.7024999856948853	4	2	3	2	3
25	0.9350000023841858	0.6200000047683716	0.6050000190734863	0.7024999856948853	0.8349999785423279	2	3	2	3	2
26	0.6200000047683716	0.6050000190734863	0.7024999856948853	0.8349999785423279	0.5649999976158142	3	2	3	2	2
27	0.6050000190734863	0.7024999856948853	0.8349999785423279	0.5649999976158142	0.9350000023841858	2	3	2	2	2
28	0.7024999856948853	0.8349999785423279	0.5649999976158142	0.9350000023841858	0.5724999904632568	3	2	2	2	3
29	0.8349999785423279	0.5649999976158142	0.9350000023841858	0.5724999904632568	0.6100000143051147	2	2	2	3	2
30	0.5649999976158142	0.9350000023841858	0.5724999904632568	0.6100000143051147	0.8849999904632568	2	2	3	2	2
31	0.9350000023841858	0.5724999904632568	0.6100000143051147	0.8849999904632568	0.5512499809265137	2	3	2	2	4
32	0.5724999904632568	0.6100000143051147	0.8849999904632568	0.5512499809265137	0.5550000071525574	3	2	2	4	2
33	0.6100000143051147	0.8849999904632568	0.5512499809265137	0.5550000071525574	0.6050000190734863	2	2	4	2	3
34	0.8849999904632568	0.5512499809265137	0.5550000071525574	0.6050000190734863	0.6200000047683716	2	4	2	3	2
35	0.5512499809265137	0.5550000071525574	0.6050000190734863	0.6200000047683716	0.5550000071525574	4	2	3	2	2
36	0.5550000071525574	0.6050000190734863	0.6200000047683716	0.5550000071525574	0.581250011920929	2	3	2	2	5
37	0.6050000190734863	0.6200000047683716	0.5550000071525574	0.581250011920929	0.7225000262260437	3	2	2	5	3
38	0.6200000047683716	0.5550000071525574	0.581250011920929	0.7225000262260437	0.5387499928474426	2	2	5	3	4
39	0.5550000071525574	0.581250011920929	0.7225000262260437	0.5387499928474426	0.9900000095367432	2	5	3	4	3
40	0.581250011920929	0.7225000262260437	0.5387499928474426	0.9900000095367432	0.9200000166893005	5	3	4	3	2
41	0.7225000262260437	0.5387499928474426	0.9900000095367432	0.9200000166893005	0.5099999904632568	3	4	3	2	2
42	0.5387499928474426	0.9900000095367432	0.9200000166893005	0.5099999904632568	0.6549999713897705	4	3	2	2	2
43	0.9900000095367432	0.9200000166893005	0.5099999904632568	0.6549999713897705	0.6499999761581421	3	2	2	2	2
44	0.9200000166893005	0.5099999904632568	0.6549999713897705	0.6499999761581421	0.5	2	2	2	2	2
45	0.5099999904632568	0.6549999713897705	0.6499999761581421	0.5	0.8650000095367432	2	2	2	2	2
46	0.6549999713897705	0.6499999761581421	0.5	0.8650000095367432	0.699999988079071	2	2	2	2	2
47	0.6499999761581421	0.5	0.8650000095367432	0.699999988079071	0.6899999976158142	2	2	2	2	2
48	0.5	0.8650000095367432	0.699999988079071	0.6899999976158142	0.526562511920929	2	2	2	2	7
49	0.8650000095367432	0.699999988079071	0.6899999976158142	0.526562511920929	0.5674999952316284	2	2	2	7	3
50	0.699999988079071	0.6899999976158142	0.526562511920929	0.5674999952316284	0.7350000143051147	2	2	7	3	3
51	0.6899999976158142	0.526562511920929	0.5674999952316284	0.7350000143051147	0.8475000262260437	2	7	3	3	3
52	0.526562511920929	0.5674999952316284	0.7350000143051147	0.8475000262260437	0.9700000286102295	7	3	3	3	2
