time,numbers
15:59,1.57
15:59,40.65
15:59,1.52
15:59,1.01
15:59,2.32
15:59,314.3
15:59,126.69
16:27,1.27
16:27,11.25
16:27,1.25
16:27,1.68
16:27,1.99
16:27,3.6
16:27,2.14
16:27,14.86
16:27,2.07
16:27,1.2
16:27,5.18
16:27,11.29
16:27,1
16:27,2.75
16:27,1.91
16:27,1.27
16:27,1.2
16:27,1.15
16:27,1.59
16:27,1.32
16:27,1.22
16:27,2.26
16:27,9.94
16:27,4.69
16:27,4.14
16:27,4.99
16:27,2.35
16:27,5.49
16:27,3.01
16:27,6.96
16:27,2.34
16:27,1.05
16:27,3.83
16:27,1.03
16:27,1.2
16:27,1.72
16:27,2.17
16:27,1.06
16:27,1.18
16:27,1.43
16:27,1.05
16:27,2.47
16:27,53.02
16:27,2.33
16:27,1.49
16:27,7.72
16:54,2.34
16:54,15.11
16:54,1.37
16:54,2.51
16:54,1.19
16:54,1.44
16:54,1.13
16:54,1.22
16:54,3.85
16:54,1.72
16:54,1.25
16:54,2.46
16:54,2.34
16:54,1.81
16:54,74.97
16:54,8.01
16:54,1.2
16:54,3.6
16:54,1.87
16:54,153.22
16:54,1.73
16:54,1.61
16:54,2.52
16:54,6.59
16:54,1.47
16:54,1.12
16:54,1.93
16:54,8.47
16:54,1.17
16:54,1.12
16:54,1
16:54,2.62
16:54,1.03
16:54,1.32
16:54,12.12
16:54,2.4
16:54,76.85
16:54,4.06
16:54,1.52
16:54,3.26
16:54,4.46
16:54,1.3
16:54,8.99
16:54,1.26
16:54,1.52
16:54,1.36
16:54,1.73
16:54,1.15
16:54,1.39
17:21,2.35
17:21,3.79
17:21,2.66
17:21,1.67
17:21,2.7
17:21,1.03
17:21,3.16
17:21,8.45
17:21,2.34
17:21,1.91
17:21,2.54
17:21,1.43
17:21,10.75
17:21,1
17:21,2.53
17:21,1.01
17:21,1.84
17:21,1.53
17:21,2.03
17:21,2.82
17:21,1.08
17:21,1.62
17:21,5.63
17:21,1.1
17:21,1.43
17:21,1.34
17:21,158.57
17:21,1.17
17:21,1
17:21,1.49
17:21,2.49
17:21,1.66
17:21,1.41
17:21,1.1
17:21,3.73
17:21,2.1
17:21,1.59
17:21,5.58
17:21,1.63
17:21,2.88
17:21,1.07
17:21,2.8
17:21,66.98
17:21,3.12
17:42,3.1
17:42,10.41
17:42,3.89
17:42,4.71
17:42,4.08
17:42,3.35
17:42,51.63
17:42,3.31
17:42,4.37
17:42,7.05
17:42,1.03
17:42,1.2
17:42,2.03
17:42,2.01
17:42,1.4
17:42,2.34
17:42,1.47
17:42,2.68
17:42,1.01
17:42,1.79
17:42,1.89
17:42,3.23
17:42,2.4
17:42,1.05
17:42,1.49
17:42,2.03
17:42,1.34
17:42,4.23
17:42,1.54
17:42,2.39
17:42,3.46
17:58,1.65
17:58,3.32
17:58,1.42
17:58,1.05
17:58,1.07
17:58,2.55
17:58,1.12
17:58,1.84
17:58,1.14
17:58,18.91
17:58,5.92
17:58,7.78
17:58,216.63
17:58,3.15
17:58,1.64
17:58,26.59
17:58,5.09
17:58,1.05
17:58,10.09
17:58,2.81
17:58,1.08
17:58,1.2
17:58,6.4
17:58,1
17:58,33.11
17:58,4.74
17:58,3.47
17:58,1.1
17:58,4.29
17:58,5.08
17:58,3.02
17:58,9.14
17:58,2.1
17:58,1.89
17:58,1.47
17:58,4.24
17:58,1.75
17:58,1.04
17:58,1.25
17:58,1.45
17:58,2.25
17:58,1.84
17:58,1.72
17:58,8.94
17:58,1.41
17:58,1.43
17:58,1.36
17:58,2.7
17:58,1.89
17:58,1.88
17:58,2.56
17:58,2.13
17:58,1.07
17:58,4.04
17:58,1.86
17:58,6.02
17:58,4.02
17:58,1.11
17:58,1.57
17:58,2.37
17:58,1.76
17:58,136.25
17:58,7
17:58,1.04
17:58,1.23
17:58,1.92
17:58,1.59
17:58,1.28
17:58,1.24
17:58,2.09
17:58,1.15
17:58,1.89
18:36,2.26
18:36,9.04
18:36,119.05
18:36,1
18:36,10.62
18:36,1.32
18:36,2.26
18:36,1
18:36,2.17
18:36,1.03
18:36,1.22
18:36,13.16
18:36,2.37
18:36,4.46
18:36,2.18
18:36,1.1
18:36,1.03
18:36,1.07
18:36,1.39
18:36,3.75
18:36,1.93
18:36,1.76
18:36,2.99
18:36,1.55
18:36,6.29
18:36,1.09
18:36,1.29
18:36,2.22
18:36,1.17
18:36,6.39
18:36,1.15
18:36,6.66
18:53,5.14
18:53,2.65
18:53,5.96
